dt,ad_id,source,channel,pull_uv,active_uv,new_uv,att_active_uv,att_new_uv,att_success_rate,d0_income,d1_income,d3_income,d7_income,d14_income,d30_income,d90_income,dn_income,extra
2026-02-01,6912db8f2f6a6207884b6fe3,putreport,link,7.0,1.0,1.0,,,50.0,0.0,,,,,,14.08,37.26,"{""attributionsuccessrate"": 50.0, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.0, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d120income"": 14.08, ""d14re"": 0.0, ""d150income"": 37.09, ""d180income"": 37.26, ""d1re"": 0.0, ""d240income"": 37.26, ""d2re"": 0.0, ""d30re"": 0.0, ""d3re"": 0.0, ""d60income"": 0.96, ""d60re"": 100.0, ""d75income"": 13.09, ""d7re"": 0.0, ""d90re"": 0.0, ""ecpm"": 0.0, ""guid"": ""fdea4e9b-e955-7c49-7188-0400e5fc8b00"", ""h5landingpageclickrate"": 63.63, ""h5landingpageclicks"": 7.0, ""h5landingpagecompleteview"": 2.0, ""h5landingpagecompleteviewusernum"": 2.0, ""h5landingpageimpressions"": 11.0, ""h5landingpageimpressionusernum"": 8.0, ""impressions"": 0.0, ""ipu"": 0.0, ""ir"": 0.0, ""launchusernum"": 2.0, ""linkclicks"": 0.0, ""newadsincome"": 0.0, ""newarpu"": 0.0, ""newinstallnum"": 0.0, ""newinstallper"": 0.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 1.0, ""subrate"": 100.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 0.0, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
2026-02-01,695281ce7a13873596d05bbe,putreport,link,3.0,1.0,1.0,,,50.0,0.12,0.3,0.68,0.99,1.09,1.58,2.24,2.24,"{""attributionsuccessrate"": 50.0, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.01, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d10income"": 1.08, ""d11income"": 1.08, ""d120income"": 2.24, ""d12income"": 1.08, ""d13income"": 1.09, ""d14re"": 100.0, ""d150income"": 2.24, ""d15income"": 1.14, ""d16income"": 1.2, ""d17income"": 1.32, ""d180income"": 2.24, ""d18income"": 1.35, ""d19income"": 1.41, ""d1re"": 100.0, ""d20income"": 1.45, ""d21income"": 1.48, ""d22income"": 1.48, ""d23income"": 1.48, ""d240income"": 2.24, ""d24income"": 1.48, ""d25income"": 1.48, ""d26income"": 1.48, ""d27income"": 1.48, ""d28income"": 1.49, ""d29income"": 1.55, ""d2re"": 100.0, ""d30re"": 100.0, ""d31income"": 1.66, ""d32income"": 1.7, ""d33income"": 1.79, ""d34income"": 1.89, ""d35income"": 1.95, ""d3re"": 100.0, ""d45income"": 2.1, ""d60income"": 2.21, ""d60re"": 0.0, ""d6income"": 0.93, ""d75income"": 2.23, ""d7re"": 100.0, ""d8income"": 1.03, ""d90re"": 0.0, ""d9income"": 1.08, ""ecpm"": 0.0, ""guid"": ""65e14e9b-e955-824a-124d-0000c6188d00"", ""h5landingpageclickrate"": 100.0, ""h5landingpageclicks"": 6.0, ""h5landingpagecompleteview"": 0.0, ""h5landingpagecompleteviewusernum"": 0.0, ""h5landingpageimpressions"": 6.0, ""h5landingpageimpressionusernum"": 3.0, ""impressions"": 0.0, ""ipu"": 428.0, ""ir"": 0.0, ""launchusernum"": 2.0, ""linkclicks"": 0.0, ""newadsincome"": 0.12, ""newarpu"": 0.125, ""newinstallnum"": 0.0, ""newinstallper"": 0.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 0.0, ""subrate"": 0.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 0.12, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
2026-02-01,6964ae333739aa84d589ba15,putreport,link,4.0,1.0,1.0,,,25.0,0.0,,,,,,,,"{""attributionsuccessrate"": 25.0, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.0, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d14re"": 0.0, ""d1re"": 0.0, ""d2re"": 0.0, ""d30re"": 0.0, ""d3re"": 0.0, ""d60re"": 0.0, ""d7re"": 0.0, ""d90re"": 0.0, ""ecpm"": 0.0, ""guid"": ""65e14e9b-e955-824a-124d-0000d1188d00"", ""h5landingpageclickrate"": 36.36, ""h5landingpageclicks"": 4.0, ""h5landingpagecompleteview"": 3.0, ""h5landingpagecompleteviewusernum"": 3.0, ""h5landingpageimpressions"": 11.0, ""h5landingpageimpressionusernum"": 7.0, ""impressions"": 0.0, ""ipu"": 91.0, ""ir"": 0.0, ""launchusernum"": 4.0, ""linkclicks"": 0.0, ""newadsincome"": 0.0, ""newarpu"": 0.004, ""newinstallnum"": 1.0, ""newinstallper"": 100.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 0.0, ""subrate"": 0.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 0.0, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
2026-02-01,6978adc564554ecc2d153718,putreport,link,7.0,1.0,1.0,,,14.28,0.0,,,,,,,,"{""attributionsuccessrate"": 14.28, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.0, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d14re"": 0.0, ""d1re"": 0.0, ""d2re"": 0.0, ""d30re"": 0.0, ""d3re"": 0.0, ""d60re"": 0.0, ""d7re"": 0.0, ""d90re"": 0.0, ""ecpm"": 0.0, ""guid"": ""70ed4e9b-e955-7c49-42af-0300e1fe8b00"", ""h5landingpageclickrate"": 63.63, ""h5landingpageclicks"": 7.0, ""h5landingpagecompleteview"": 1.0, ""h5landingpagecompleteviewusernum"": 1.0, ""h5landingpageimpressions"": 11.0, ""h5landingpageimpressionusernum"": 9.0, ""impressions"": 0.0, ""ipu"": 0.0, ""ir"": 0.0, ""launchusernum"": 7.0, ""linkclicks"": 0.0, ""newadsincome"": 0.0, ""newarpu"": 0.0, ""newinstallnum"": 1.0, ""newinstallper"": 100.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 0.0, ""subrate"": 0.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 0.0, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
2026-02-01,697988346a698be81b7137fb,putreport,link,14.0,1.0,1.0,,,5.88,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,"{""attributionsuccessrate"": 5.88, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.0, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d10income"": 0.01, ""d11income"": 0.01, ""d120income"": 0.01, ""d12income"": 0.01, ""d13income"": 0.01, ""d14re"": 0.0, ""d150income"": 0.01, ""d15income"": 0.01, ""d16income"": 0.01, ""d17income"": 0.01, ""d180income"": 0.01, ""d18income"": 0.01, ""d19income"": 0.01, ""d1re"": 0.0, ""d20income"": 0.01, ""d21income"": 0.01, ""d22income"": 0.01, ""d23income"": 0.01, ""d240income"": 0.01, ""d24income"": 0.01, ""d25income"": 0.01, ""d26income"": 0.01, ""d27income"": 0.01, ""d28income"": 0.01, ""d29income"": 0.01, ""d2re"": 0.0, ""d30re"": 100.0, ""d31income"": 0.01, ""d32income"": 0.01, ""d33income"": 0.01, ""d34income"": 0.01, ""d35income"": 0.01, ""d3re"": 0.0, ""d45income"": 0.01, ""d60income"": 0.01, ""d60re"": 0.0, ""d6income"": 0.01, ""d75income"": 0.01, ""d7re"": 0.0, ""d8income"": 0.01, ""d90re"": 0.0, ""d9income"": 0.01, ""ecpm"": 0.0, ""guid"": ""fdea4e9b-e955-7c49-7188-0400f4fc8b00"", ""h5landingpageclickrate"": 42.85, ""h5landingpageclicks"": 15.0, ""h5landingpagecompleteview"": 9.0, ""h5landingpagecompleteviewusernum"": 9.0, ""h5landingpageimpressions"": 35.0, ""h5landingpageimpressionusernum"": 26.0, ""impressions"": 0.0, ""ipu"": 2.0, ""ir"": 0.0, ""launchusernum"": 17.0, ""linkclicks"": 0.0, ""newadsincome"": 0.01, ""newarpu"": 0.012, ""newinstallnum"": 1.0, ""newinstallper"": 100.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 0.0, ""subrate"": 0.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 0.01, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
2026-02-01,6979afc2b532da94872c03a8,putreport,link,52.0,4.0,4.0,,,11.76,2.84,2.84,2.87,2.91,3.0,3.07,3.09,3.09,"{""attributionsuccessrate"": 11.76, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.28, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d10income"": 2.98, ""d11income"": 3.0, ""d120income"": 3.09, ""d12income"": 3.0, ""d13income"": 3.0, ""d14re"": 0.0, ""d150income"": 3.09, ""d15income"": 3.0, ""d16income"": 3.0, ""d17income"": 3.0, ""d180income"": 3.09, ""d18income"": 3.07, ""d19income"": 3.07, ""d1re"": 25.0, ""d20income"": 3.07, ""d21income"": 3.07, ""d22income"": 3.07, ""d23income"": 3.07, ""d240income"": 3.09, ""d24income"": 3.07, ""d25income"": 3.07, ""d26income"": 3.07, ""d27income"": 3.07, ""d28income"": 3.07, ""d29income"": 3.07, ""d2re"": 50.0, ""d30re"": 0.0, ""d31income"": 3.07, ""d32income"": 3.07, ""d33income"": 3.07, ""d34income"": 3.07, ""d35income"": 3.07, ""d3re"": 25.0, ""d45income"": 3.09, ""d60income"": 3.09, ""d60re"": 0.0, ""d6income"": 2.9, ""d75income"": 3.09, ""d7re"": 25.0, ""d8income"": 2.96, ""d90re"": 0.0, ""d9income"": 2.96, ""ecpm"": 0.0, ""guid"": ""36de4e9b-e955-824a-fb2b-070060148d00"", ""h5landingpageclickrate"": 96.03, ""h5landingpageclicks"": 97.0, ""h5landingpagecompleteview"": 0.0, ""h5landingpagecompleteviewusernum"": 0.0, ""h5landingpageimpressions"": 101.0, ""h5landingpageimpressionusernum"": 52.0, ""impressions"": 0.0, ""ipu"": 217.25, ""ir"": 0.0, ""launchusernum"": 34.0, ""linkclicks"": 0.0, ""newadsincome"": 2.84, ""newarpu"": 0.71, ""newinstallnum"": 0.0, ""newinstallper"": 0.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 0.0, ""subrate"": 0.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 2.84, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
2026-02-01,697c51adbd2050a8938a319b,putreport,link,38.0,1.0,1.0,,,2.94,0.01,0.01,0.01,0.01,0.01,0.21,11.32,15.71,"{""attributionsuccessrate"": 2.94, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.0, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d10income"": 0.01, ""d11income"": 0.01, ""d120income"": 14.65, ""d12income"": 0.01, ""d13income"": 0.01, ""d14re"": 0.0, ""d150income"": 15.71, ""d15income"": 0.01, ""d16income"": 0.01, ""d17income"": 0.01, ""d180income"": 15.71, ""d18income"": 0.01, ""d19income"": 0.01, ""d1re"": 100.0, ""d20income"": 0.01, ""d21income"": 0.01, ""d22income"": 0.12, ""d23income"": 0.13, ""d240income"": 15.71, ""d24income"": 0.21, ""d25income"": 0.21, ""d26income"": 0.21, ""d27income"": 0.21, ""d28income"": 0.21, ""d29income"": 0.21, ""d2re"": 0.0, ""d30re"": 100.0, ""d31income"": 0.49, ""d32income"": 0.63, ""d33income"": 0.68, ""d34income"": 0.87, ""d35income"": 0.87, ""d3re"": 0.0, ""d45income"": 3.36, ""d60income"": 6.89, ""d60re"": 100.0, ""d6income"": 0.01, ""d75income"": 8.34, ""d7re"": 0.0, ""d8income"": 0.01, ""d90re"": 100.0, ""d9income"": 0.01, ""ecpm"": 0.0, ""guid"": ""29f24e9b-e955-834a-786a-050047688c00"", ""h5landingpageclickrate"": 97.67, ""h5landingpageclicks"": 84.0, ""h5landingpagecompleteview"": 0.0, ""h5landingpagecompleteviewusernum"": 0.0, ""h5landingpageimpressions"": 86.0, ""h5landingpageimpressionusernum"": 38.0, ""impressions"": 0.0, ""ipu"": 57.0, ""ir"": 0.0, ""launchusernum"": 34.0, ""linkclicks"": 0.0, ""newadsincome"": 0.01, ""newarpu"": 0.015, ""newinstallnum"": 0.0, ""newinstallper"": 0.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 0.0, ""subrate"": 0.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 0.01, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
2026-02-02,6912db8f2f6a6207884b6fe3,putreport,link,5.0,1.0,1.0,,,33.33,0.76,1.67,2.08,2.2,2.2,2.2,3.13,3.13,"{""attributionsuccessrate"": 33.33, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.07, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d10income"": 2.2, ""d11income"": 2.2, ""d120income"": 3.13, ""d12income"": 2.2, ""d13income"": 2.2, ""d14re"": 0.0, ""d150income"": 3.13, ""d15income"": 2.2, ""d16income"": 2.2, ""d17income"": 2.2, ""d180income"": 3.13, ""d18income"": 2.2, ""d19income"": 2.2, ""d1re"": 100.0, ""d20income"": 2.2, ""d21income"": 2.2, ""d22income"": 2.2, ""d23income"": 2.2, ""d240income"": 3.13, ""d24income"": 2.2, ""d25income"": 2.2, ""d26income"": 2.2, ""d27income"": 2.2, ""d28income"": 2.2, ""d29income"": 2.2, ""d2re"": 100.0, ""d30re"": 0.0, ""d31income"": 2.2, ""d32income"": 2.2, ""d33income"": 2.2, ""d34income"": 2.2, ""d35income"": 2.2, ""d3re"": 100.0, ""d45income"": 2.2, ""d60income"": 2.2, ""d60re"": 0.0, ""d6income"": 2.18, ""d75income"": 3.13, ""d7re"": 100.0, ""d8income"": 2.2, ""d90re"": 0.0, ""d9income"": 2.2, ""ecpm"": 0.0, ""guid"": ""36de4e9b-e955-824a-fb2b-020043128d00"", ""h5landingpageclickrate"": 66.66, ""h5landingpageclicks"": 6.0, ""h5landingpagecompleteview"": 2.0, ""h5landingpagecompleteviewusernum"": 2.0, ""h5landingpageimpressions"": 9.0, ""h5landingpageimpressionusernum"": 8.0, ""impressions"": 0.0, ""ipu"": 921.0, ""ir"": 0.0, ""launchusernum"": 3.0, ""linkclicks"": 0.0, ""newadsincome"": 0.76, ""newarpu"": 0.761, ""newinstallnum"": 1.0, ""newinstallper"": 100.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 0.0, ""subrate"": 0.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 0.76, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
2026-02-02,69524dcd7a13873596d05bba,putreport,link,1.0,1.0,1.0,,,14.28,0.0,,,,,,,,"{""attributionsuccessrate"": 14.28, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.0, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d14re"": 0.0, ""d1re"": 100.0, ""d2re"": 100.0, ""d30re"": 0.0, ""d3re"": 100.0, ""d60re"": 0.0, ""d7re"": 0.0, ""d90re"": 0.0, ""ecpm"": 0.0, ""guid"": ""36de4e9b-e955-824a-fb2b-070046148d00"", ""h5landingpageclickrate"": 14.28, ""h5landingpageclicks"": 1.0, ""h5landingpagecompleteview"": 1.0, ""h5landingpagecompleteviewusernum"": 1.0, ""h5landingpageimpressions"": 7.0, ""h5landingpageimpressionusernum"": 7.0, ""impressions"": 0.0, ""ipu"": 0.0, ""ir"": 0.0, ""launchusernum"": 7.0, ""linkclicks"": 0.0, ""newadsincome"": 0.0, ""newarpu"": 0.0, ""newinstallnum"": 1.0, ""newinstallper"": 100.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 0.0, ""subrate"": 0.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 0.0, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
2026-02-02,6979afc2b532da94872c03a8,putreport,link,26.0,1.0,1.0,,,8.33,0.0,,,,,,,,"{""attributionsuccessrate"": 8.33, ""callbackcost"": 0.0, ""callbackcostfb"": 0.0, ""callbackcount"": 0.0, ""callbackcountfb"": 0.0, ""clicks"": 0.0, ""copyrightcost"": 0.0, ""cpc"": 0.0, ""cpi"": 0.0, ""cvr"": 0.0, ""cvrall"": 0.0, ""d0"": 0.0, ""d14re"": 0.0, ""d1re"": 0.0, ""d2re"": 0.0, ""d30re"": 0.0, ""d3re"": 0.0, ""d60re"": 0.0, ""d7re"": 0.0, ""d90re"": 0.0, ""ecpm"": 0.0, ""guid"": ""65e14e9b-e955-824a-124d-0000da188d00"", ""h5landingpageclickrate"": 97.56, ""h5landingpageclicks"": 40.0, ""h5landingpagecompleteview"": 0.0, ""h5landingpagecompleteviewusernum"": 0.0, ""h5landingpageimpressions"": 41.0, ""h5landingpageimpressionusernum"": 26.0, ""impressions"": 0.0, ""ipu"": 1.0, ""ir"": 0.0, ""launchusernum"": 12.0, ""linkclicks"": 0.0, ""newadsincome"": 0.0, ""newarpu"": 0.005, ""newinstallnum"": 0.0, ""newinstallper"": 0.0, ""neworderincome"": 0.0, ""rpspend"": 0.0, ""spend"": 0.0, ""subnumtotal"": 0.0, ""subrate"": 0.0, ""subrefundamt"": 0.0, ""subrefundcnt"": 0.0, ""subrefundunt"": 0.0, ""subrenewunt"": 0.0, ""totalincome"": 0.0, ""video3sper"": 0.0, ""videop100per"": 0.0, ""videop25per"": 0.0, ""videop50per"": 0.0, ""videop75per"": 0.0}"
